"createdAt","processingDuration"
"2023-07-31 09:24:11.16469","12.281762"
"2023-07-31 09:24:12.179443","12.184065"
"2023-07-31 09:24:13.172201","13.247154"
"2023-07-31 09:24:14.174629","12.79821"
"2023-07-31 09:24:15.17227","11.963231"
"2023-07-31 09:24:16.169266","12.009561"
"2023-07-31 09:24:17.173208","12.740857"
"2023-07-31 09:24:18.169191","12.402642"
"2023-07-31 09:24:19.163335","12.854521"
"2023-07-31 09:24:20.175894","15.296273"
"2023-07-31 09:24:21.175015","16.021569"
"2023-07-31 09:24:22.165081","12.252211"
"2023-07-31 09:24:23.167535","12.442389"
"2023-07-31 09:24:24.165985","15.623771"
"2023-07-31 09:24:25.172359","14.627274"
"2023-07-31 09:24:26.172279","11.765286"
"2023-07-31 09:24:27.165773","23.459612"
"2023-07-31 09:24:28.173164","26.800226"
"2023-07-31 09:24:29.174728","13.230439"
"2023-07-31 09:24:30.177345","31.025121"
"2023-07-31 09:24:31.179077","11.844967"
"2023-07-31 09:24:32.1617","13.954866"
"2023-07-31 09:24:33.176779","11.847677"
"2023-07-31 09:24:34.172955","12.006475"
"2023-07-31 09:24:35.161224","17.186284"
"2023-07-31 09:24:36.168382","19.963991"
"2023-07-31 09:24:37.16666","23.800997"
"2023-07-31 09:24:38.171665","14.262665"
"2023-07-31 09:24:39.172757","13.711458"
"2023-07-31 09:24:40.185994","24.401114"
"2023-07-31 09:24:41.183949","23.67083"
"2023-07-31 09:24:42.161628","11.904969"
"2023-07-31 09:24:43.176766","13.110724"
"2023-07-31 09:24:44.168996","20.500149"
"2023-07-31 09:24:45.171837","11.910361"
"2023-07-31 09:24:46.187626","12.190954"
"2023-07-31 09:24:47.168213","14.191402"
"2023-07-31 09:24:48.173829","14.344043"
"2023-07-31 09:24:49.180366","29.362613"
"2023-07-31 09:24:50.17168","26.779983"
"2023-07-31 09:24:51.169873","16.923651"
"2023-07-31 09:24:52.160369","31.369847"
"2023-07-31 09:24:53.180501","14.458177"
"2023-07-31 09:24:54.178557","29.522619"
"2023-07-31 09:24:55.172053","11.760123"
"2023-07-31 09:24:56.173473","37.44253"
"2023-07-31 09:24:57.160465","12.04895"
"2023-07-31 09:24:58.166453","45.501487"
"2023-07-31 09:24:59.166743","47.022083"
"2023-07-31 09:25:00.167848","46.262063"
"2023-07-31 09:25:01.172072","45.182295"
"2023-07-31 09:25:02.174772","38.141615"
"2023-07-31 09:25:03.163437","43.307418"
"2023-07-31 09:25:04.167765","12.391688"
"2023-07-31 09:25:05.166998","12.671385"
"2023-07-31 09:25:06.171679","37.335504"
"2023-07-31 09:25:07.173742","12.217879"
"2023-07-31 09:25:08.168926","12.251902"
"2023-07-31 09:25:09.177705","14.375846"
"2023-07-31 09:25:10.17187","12.786307"
"2023-07-31 09:25:11.173548","13.212453"
"2023-07-31 09:25:12.166375","12.123258"
"2023-07-31 09:25:13.168883","12.712868"
"2023-07-31 09:25:14.163939","11.736688"
"2023-07-31 09:25:15.17142","12.134588"
"2023-07-31 09:25:16.170013","14.70232"
"2023-07-31 09:25:17.171969","10.981101"
"2023-07-31 09:25:18.176609","12.879177"
"2023-07-31 09:25:19.176926","13.940242"
"2023-07-31 09:25:20.169086","12.935118"
"2023-07-31 09:25:21.173361","12.000339"
"2023-07-31 09:25:22.161309","11.961251"
"2023-07-31 09:25:23.175484","12.005273"
"2023-07-31 09:25:24.168715","14.038854"
