"id","createdAt","processingDuration"
"120983","2023-07-31 07:57:02.14661","21.336447"
"120984","2023-07-31 07:57:03.15378","188.310313"
"120985","2023-07-31 07:57:04.149593","23.36928"
"120986","2023-07-31 07:57:05.142061","25.199812"
"120987","2023-07-31 07:57:06.151966","18.974618"
"120988","2023-07-31 07:57:07.137291","191.092416"
"120989","2023-07-31 07:57:08.14276","169.364194"
"120990","2023-07-31 07:57:09.143329","173.915772"
"120991","2023-07-31 07:57:10.143377","142.376381"
"120992","2023-07-31 07:57:11.148376","38.405238"
"120993","2023-07-31 07:57:12.146369","42.82003"
"120994","2023-07-31 07:57:13.145347","16.945456"
"120995","2023-07-31 07:57:14.14161","46.937904"
"120996","2023-07-31 07:57:15.140708","181.527651"
"120997","2023-07-31 07:57:16.144777","127.850721"
"120998","2023-07-31 07:57:17.143904","166.931218"
"120999","2023-07-31 07:57:18.146453","171.130582"
"121000","2023-07-31 07:57:19.137567","175.997418"
"121001","2023-07-31 07:57:20.145747","172.752823"
"121002","2023-07-31 07:57:21.144239","58.570277"
"121003","2023-07-31 07:57:22.14095","32.461128"
"121004","2023-07-31 07:57:23.139585","165.021446"
"121005","2023-07-31 07:57:24.141735","146.460963"
"121006","2023-07-31 07:57:25.15705","143.474603"
"121007","2023-07-31 07:57:26.141027","159.820349"
"121008","2023-07-31 07:57:27.143385","203.701685"
"121009","2023-07-31 07:57:28.155996","26.884981"
"121010","2023-07-31 07:57:29.147801","31.056965"
"121011","2023-07-31 07:57:30.146179","187.127675"
"121012","2023-07-31 07:57:31.144402","33.950229"
"121013","2023-07-31 07:57:32.152025","38.539287"
"121014","2023-07-31 07:57:33.144588","184.901707"
"121015","2023-07-31 07:57:34.147356","159.448315"
"121016","2023-07-31 07:57:35.156127","170.751992"
"121017","2023-07-31 07:57:36.147075","28.575111"
"121018","2023-07-31 07:57:37.144515","21.510416"
"121019","2023-07-31 07:57:38.152426","75.056449"
"121020","2023-07-31 07:57:39.144491","141.920125"
"121021","2023-07-31 07:57:40.144373","127.493324"
"121022","2023-07-31 07:57:41.141321","193.879276"
"121023","2023-07-31 07:57:42.142327","102.014148"
"121024","2023-07-31 07:57:43.137148","156.869565"
"121025","2023-07-31 07:57:44.144685","125.224238"
"121026","2023-07-31 07:57:45.13695","92.452054"
"121027","2023-07-31 07:57:46.146847","169.530847"
"121028","2023-07-31 07:57:47.139113","151.550468"
"121029","2023-07-31 07:57:48.146862","147.790204"
"121030","2023-07-31 07:57:49.141039","61.93654"
"121031","2023-07-31 07:57:50.14678","26.127936"
"121032","2023-07-31 07:57:51.142548","44.704835"
"121033","2023-07-31 07:57:52.14289","24.392322"
"121034","2023-07-31 07:57:53.142854","73.692042"
"121035","2023-07-31 07:57:54.14415","158.728345"
"121036","2023-07-31 07:57:55.148376","138.731345"
"121037","2023-07-31 07:57:56.135964","62.219672"
"121038","2023-07-31 07:57:57.140917","181.230221"
"121039","2023-07-31 07:57:58.145984","138.058074"
"121040","2023-07-31 07:57:59.144094","185.986496"
"121041","2023-07-31 07:58:00.161353","143.676223"
"121042","2023-07-31 07:58:01.143591","184.318772"
"121043","2023-07-31 07:58:02.146997","127.245761"
"121044","2023-07-31 07:58:03.148046","141.553093"
"121045","2023-07-31 07:58:04.149993","180.202771"
"121046","2023-07-31 07:58:05.141834","180.666373"
