"createdAt","processingDuration"
"2023-07-31 09:50:58.54274","11.420854"
"2023-07-31 09:50:59.535791","14.475119"
"2023-07-31 09:51:00.528484","12.158762"
"2023-07-31 09:51:01.530082","17.283864"
"2023-07-31 09:51:02.526898","12.03071"
"2023-07-31 09:51:03.52949","15.316614"
"2023-07-31 09:51:04.528085","14.675075"
"2023-07-31 09:51:05.523483","11.521102"
"2023-07-31 09:51:06.529153","17.45644"
"2023-07-31 09:51:07.5341","13.514849"
"2023-07-31 09:51:08.530525","28.289548"
"2023-07-31 09:51:09.538587","13.855309"
"2023-07-31 09:51:10.524067","15.825307"
"2023-07-31 09:51:11.541826","21.510914"
"2023-07-31 09:51:12.531266","23.389752"
"2023-07-31 09:51:13.527083","22.758138"
"2023-07-31 09:51:14.530771","22.758953"
"2023-07-31 09:51:15.535037","21.32513"
"2023-07-31 09:51:16.530415","12.648062"
"2023-07-31 09:51:17.532643","17.726847"
"2023-07-31 09:51:18.520367","17.544888"
"2023-07-31 09:51:19.541605","11.431692"
"2023-07-31 09:51:20.526961","13.019785"
"2023-07-31 09:51:21.531373","14.571384"
"2023-07-31 09:51:22.526024","12.384618"
"2023-07-31 09:51:23.518499","14.753471"
"2023-07-31 09:51:24.531871","13.154873"
"2023-07-31 09:51:25.523033","12.937239"
"2023-07-31 09:51:26.525325","13.787781"
"2023-07-31 09:51:27.536495","13.52137"
"2023-07-31 09:51:28.539376","12.391731"
"2023-07-31 09:51:29.532928","13.348401"
"2023-07-31 09:51:30.530388","11.64747"
"2023-07-31 09:51:31.531663","16.141513"
"2023-07-31 09:51:32.536266","15.046416"
"2023-07-31 09:51:33.527542","15.72482"
"2023-07-31 09:51:34.525452","13.423881"
"2023-07-31 09:51:35.525089","13.556044"
"2023-07-31 09:51:36.530404","16.248108"
"2023-07-31 09:51:37.536951","16.323141"
"2023-07-31 09:51:38.525919","11.971646"
"2023-07-31 09:51:39.54598","11.810069"
"2023-07-31 09:51:40.530696","14.653521"
"2023-07-31 09:51:41.528544","13.820188"
"2023-07-31 09:51:42.521008","14.874523"
"2023-07-31 09:51:43.532798","12.035094"
"2023-07-31 09:51:44.526997","13.720744"
"2023-07-31 09:51:45.522254","12.978597"
"2023-07-31 09:51:46.53785","12.830055"
"2023-07-31 09:51:47.531688","12.43643"
"2023-07-31 09:51:48.547357","13.240257"
"2023-07-31 09:51:49.532686","11.237602"
"2023-07-31 09:51:50.528026","13.000171"
"2023-07-31 09:51:51.520084","13.519292"
"2023-07-31 09:51:52.526325","11.625559"
"2023-07-31 09:51:53.524632","11.511183"
"2023-07-31 09:51:54.526315","12.448923"
"2023-07-31 09:51:55.525669","18.909203"
"2023-07-31 09:51:56.535332","12.204915"
"2023-07-31 09:51:57.539263","13.581329"
"2023-07-31 09:51:58.533948","12.540136"
"2023-07-31 09:51:59.524491","14.172762"
"2023-07-31 09:52:00.537454","11.606572"
"2023-07-31 09:52:01.537688","11.759363"
"2023-07-31 09:52:02.528093","13.29117"
"2023-07-31 09:52:03.547849","12.061798"
"2023-07-31 09:52:04.542665","12.142365"
"2023-07-31 09:52:05.523104","11.916267"
"2023-07-31 09:52:06.535021","11.775576"
"2023-07-31 09:52:07.543941","11.772722"
"2023-07-31 09:52:08.521819","12.192254"
"2023-07-31 09:52:09.531807","12.941767"
"2023-07-31 09:52:10.539763","13.304829"
"2023-07-31 09:52:11.527193","13.467474"
"2023-07-31 09:52:12.53474","12.127003"
"2023-07-31 09:52:13.530027","12.629164"
"2023-07-31 09:52:14.538619","11.186699"
"2023-07-31 09:52:15.536682","12.676059"
"2023-07-31 09:52:16.536673","11.974895"
"2023-07-31 09:52:17.529023","13.009193"
"2023-07-31 09:52:18.529614","12.852239"
"2023-07-31 09:52:19.520344","12.149774"
"2023-07-31 09:52:20.537529","14.829841"
"2023-07-31 09:52:21.518991","12.327179"
"2023-07-31 09:52:22.533168","16.334056"
